LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738272327.105044,1296510.000,295,1,TL,1,100,2025-01-30_14-25-22-112563
1738272327.144045,1296549.000,298,1,TL,1,100,2025-01-30_14-25-27-126361
1738272332.216198,1301621.000,1091,1,TL,1,100,2025-01-30_14-25-27-194812
1738272332.242198,1301647.000,1094,1,TL,1,100,2025-01-30_14-25-32-234213
1738272337.323352,1306728.000,1882,1,TL,1,100,2025-01-30_14-25-32-287327
1738272337.388354,1306793.000,1885,1,TL,1,100,2025-01-30_14-25-37-371038
1738272342.430506,1311835.000,2672,1,TL,1,100,2025-01-30_14-25-37-418202
1738272342.447506,1311852.000,2675,1,TL,1,100,2025-01-30_14-25-42-441306
1738272347.538660,1316943.000,3466,1,TL,1,100,2025-01-30_14-25-42-508222
1738272347.561661,1316966.000,3469,1,TL,1,100,2025-01-30_14-25-47-550475
1738272352.681815,1322086.000,4276,1,TL,1,100,2025-01-30_14-25-47-590291
1738272352.699816,1322104.000,4279,1,TL,1,100,2025-01-30_14-25-52-691754
1738272357.787969,1327192.000,5071,1,TL,1,100,2025-01-30_14-25-52-795233
1738272362.902123,1332306.000,5860,1,TL,1,100,2025-01-30_14-25-57-917938
1738272362.909123,1332313.000,5862,1,TL,1,100,2025-01-30_14-25-57-981774
1738272368.021278,1337425.000,6653,1,TL,1,100,2025-01-30_14-26-03-028189
1738272368.027278,1337431.000,6655,1,TL,1,100,2025-01-30_14-26-03-095347
1738272368.087280,1337491.000,6658,1,TL,1,100,2025-01-30_14-26-08-073093
1738272373.137432,1342541.000,7451,1,TL,1,100,2025-01-30_14-26-08-121143
1738272373.153433,1342557.000,7454,1,TL,1,100,2025-01-30_14-26-13-144991
1738272378.245586,1347649.000,8248,1,TL,1,100,2025-01-30_14-26-13-202144
1738272378.279587,1347683.000,8251,1,TL,1,100,2025-01-30_14-26-18-269089
1738272383.353740,1352757.000,9039,1,TL,1,100,2025-01-30_14-26-18-310142
1738272383.385741,1352789.000,9042,1,TL,1,100,2025-01-30_14-26-23-375448
1738272388.465894,1357869.000,9829,1,TL,1,100,2025-01-30_14-26-23-422842
1738272388.491895,1357895.000,9832,1,TL,1,100,2025-01-30_14-26-28-481758
1738272393.572048,1362975.000,10625,1,TL,1,100,2025-01-30_14-26-28-542539
