LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738271575.489777,561802.000,22813,2,GX,1,100,-0.122
1738271575.529779,561842.000,22831,3,GX,1,100,-0.153
1738271575.569781,561882.000,22831,3,GX,1,100,-0.183
1738271575.609782,561922.000,22831,3,GX,1,100,-0.214
1738271575.649784,561962.000,22847,2,GX,1,100,-0.183
1738271575.689785,562002.000,22847,2,GX,1,100,-0.122
1738271575.729787,562042.000,22864,3,GX,1,100,0.000
1738271575.769789,562082.000,22864,3,GX,1,100,0.031
1738271575.809790,562122.000,22864,3,GX,1,100,-0.092
1738271575.849792,562162.000,22882,2,GX,1,100,-0.061
1738271575.889793,562202.000,22882,2,GX,1,100,0.000
1738271575.929795,562242.000,22899,3,GX,1,100,-0.092
1738271575.969797,562282.000,22899,3,GX,1,100,-0.092
1738271576.009798,562322.000,22899,3,GX,1,100,-0.153
1738271576.049800,562362.000,22915,2,GX,1,100,0.092
1738271576.089802,562402.000,22915,2,GX,1,100,0.061
1738271576.129803,562442.000,22932,3,GX,1,100,-0.092
1738271576.169805,562482.000,22932,3,GX,1,100,-0.122
1738271576.209806,562522.000,22932,3,GX,1,100,0.031
1738271576.249808,562562.000,22949,2,GX,1,100,0.000
1738271576.289810,562602.000,22949,2,GX,1,100,-0.061
1738271576.329811,562642.000,22965,3,GX,1,100,-0.122
1738271576.369813,562682.000,22965,3,GX,1,100,-0.061
1738271576.409815,562722.000,22965,3,GX,1,100,-0.031
1738271576.449816,562762.000,22981,3,GX,1,100,-0.061
1738271576.489818,562802.000,22981,3,GX,1,100,-0.061
1738271576.529819,562842.000,22981,3,GX,1,100,-0.031
1738271576.569821,562882.000,23001,2,GX,1,100,-0.061
1738271576.609823,562922.000,23001,2,GX,1,100,-0.122
1738271576.656324,562968.500,23017,2,GX,1,100,-0.061
1738271576.702826,563015.000,23017,2,GX,1,100,-0.092
1738271576.742828,563055.000,23033,3,GX,1,100,-0.122
1738271576.782830,563095.000,23033,3,GX,1,100,-0.092
1738271576.822831,563135.000,23033,3,GX,1,100,-0.092
1738271576.862833,563175.000,23050,2,GX,1,100,0.000
1738271576.902834,563215.000,23050,2,GX,1,100,0.122
1738271576.942836,563255.000,23067,3,GX,1,100,-0.031
1738271576.982838,563295.000,23067,3,GX,1,100,-0.153
1738271577.022839,563335.000,23067,3,GX,1,100,-0.061
1738271577.062841,563375.000,23083,2,GX,1,100,0.031
1738271577.102843,563415.000,23083,2,GX,1,100,0.000
1738271577.142844,563455.000,23099,3,GX,1,100,-0.061
1738271577.182846,563495.000,23099,3,GX,1,100,0.000
1738271577.222847,563535.000,23099,3,GX,1,100,0.000
1738271577.262849,563575.000,23116,3,GX,1,100,-0.031
1738271577.302850,563615.000,23116,3,GX,1,100,-0.061
1738271577.342852,563655.000,23116,3,GX,1,100,-0.061
1738271577.382854,563695.000,23133,2,GX,1,100,-0.031
1738271577.422855,563735.000,23133,2,GX,1,100,-0.061
1738271577.462857,563775.000,23151,3,GX,1,100,-0.061
1738271577.502859,563815.000,23151,3,GX,1,100,0.031
1738271577.542860,563855.000,23151,3,GX,1,100,0.031
1738271577.582862,563895.000,23168,2,GX,1,100,0.061
1738271577.622864,563935.000,23168,2,GX,1,100,0.122
1738271577.662865,563975.000,23184,3,GX,1,100,0.061
1738271577.702867,564015.000,23184,3,GX,1,100,0.061
1738271577.742868,564055.000,23184,3,GX,1,100,0.122
1738271577.782870,564095.000,23201,2,GX,1,100,0.122
1738271577.822872,564135.000,23201,2,GX,1,100,-0.031
1738271577.862873,564175.000,23218,3,GX,1,100,-0.031
1738271577.902875,564215.000,23218,3,GX,1,100,0.153
1738271577.942877,564255.000,23218,3,GX,1,100,0.153
1738271577.982878,564295.000,23234,2,GX,1,100,0.092
